"genus" "species"
"1" "Abietinaria" "abietina"
"2" "Abra" "alba"
"3" "Abra" "prismatica"
"4" "Acanthodoris" "pilosa"
"5" "Acanthocardia" "echinata"
"6" "Acanthephyra" "pelagica"
"7" "Acanthephyra" "stylorostratis"
"8" "Acrocnida" "brachiata"
"9" "Acteon" "tornatilis"
"10" "Adamsia" "palliata"
"11" "Aegaeon" "lacazei"
"12" "Aeolidia" "papillosa"
"13" "Aequipecten" "opercularis"
"14" "Alcyonidium" "diaphanum"
"15" "Alcyonidium" "parasiticum"
"16" "Alcyonium" "digitatum"
"17" "Alcyonium" "glomeratum"
"18" "Alpheus" "glaber"
"19" "Amphisbetia" "operculata"
"20" "Amphipholis" "squamata"
"21" "Anapagurus" "hyndmanni"
"22" "Anapagurus" "laevis"
"23" "Anomia" "ephippium"
"24" "Anseropoda" "placenta"
"25" "Antalis" "entalis"
"26" "Antedon" "petasus"
"27" "Aeolidiella" "alderi"
"28" "Aphrodita" "aculeata"
"29" "Aplysia" "fasciata"
"30" "Aporrhais" "pespelecani"
"31" "Aporrhais" "serreseanus"
"32" "Arcopella" "balaustina"
"33" "Aristaeopsis" "edwardsiana"
"34" "Aristaeomorpha" "foliacea"
"35" "Armina" "loveni"
"36" "Arctica" "islandica"
"37" "Ascidia" "virginea"
"38" "Ascidiella" "scabra"
"39" "Astarte" "sulcata"
"40" "Asterias" "rubens"
"41" "Astropecten" "irregularis"
"42" "Astropecten" "irregularis"
"43" "Asteronyx" "loveni"
"44" "Atelecyclus" "rotundatus"
"45" "Atelecyclus" "undecimdentatus"
"46" "Athanas" "nitescens"
"47" "Atlantopandalus" "propinqvus"
"48" "Atrina" "pectinata"
"49" "Aurelia" "aurita"
"50" "Axinella" "infundibuliformis"
"51" "Barnea" "candida"
"52" "Bathypolypus" "sponsalis"
"53" "Bathynectes" "longipes"
"54" "Bathynectes" "maravigna"
"55" "Berthella" "plumula"
"56" "Brissopsis" "lyrifera"
"57" "Buccinum" "humphreysianum"
"58" "Buccinum" "undatum"
"59" "Calocaris" "macandreae"
"60" "Calliostoma" "granulatum"
"61" "Calliostoma" "zizyphinum"
"62" "Calyptraea" "chinensis"
"63" "Cancer" "bellianus"
"64" "Cancer" "pagurus"
"65" "Capulus" "ungaricus"
