"taxon" "IntDi" "rank IntDi" "decile" "Sci" "PCoA1" "PCoA2" "region identifier" "result.code" "result.category" "extinction.risk" "habitat" "feeding.mode" "tl" "offspring.size" "spawning.type" "age.maturity" "fecundity" "length.infinity" "length.max" "length.maturity" "growth.coefficient"
"1" "Abramis_brama" 0.1413 168 4 0.99981 0.03434 0.0143 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.150000095 2 "non-guarder" 5.25 212330.1429 79.88999901 82 28.705 0.07385426
"2" "Acantholabrus_palloni" 0.16572 296 7 0.99987 0.04913 0.07851 "europe" "LC" "Least Concern" 1 "reef-associated" "benthivorous" 3.5 0.91 "guarder" 3.179545457 160631 27.64999974 25 15.0189624185831 0.199772312
"3" "Acipenser_sturio" 0.20987 392 10 0.99999 -0.00323 0.09033 "europe" "CR" "Critically Endangered" 2 "demersal" "benthivorous" 3.51 28 "non-guarder" 11 1600000 500 600 150 0.029999999
"4" "Agonus_cataphractus" 0.12036 34 1 0.82491 0.06302 0.02138 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.43 2 "non-guarder" 3 2550 17.4 21 9 0.474999994
"5" "Alburnus_alburnus" 0.1726 329 8 0.9999 0.06569 -0.01726 "europe" "LC" "Least Concern" 1 "benthopelagic" "planktivorous" 2.700000048 0.64 "non-guarder" 2 7285.75 18.11999989 23 9.9 0.314578363
"6" "Aldrovandia_phalacra" 0.13827 151 4 1 0.01914 -0.03984 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 3.17 2.7 "non-guarder" 2.17315865310983 3754 60.69999886 50 18.5208463872642 0.385089232
"7" "Alepocephalus_rostratus" 0.13822 150 4 1 0.00363 -0.02577 "europe" "LC" "Least Concern" 1 "bathydemersal" "planktivorous" 3.56 2.7 "non-guarder" 4.91099252288587 3753.5 44.10000038 45 25.65 0.088941882
"8" "Alopias_vulpinus" 0.35487 423 10 1 -0.28144 0.04309 "europe" "EN" "Endangered" 2 "pelagic" "generalist" 4.5 1360 "bearer" 5.050000191 3 557.6499939 480 303 0.108234845
"9" "Alosa_agone" 0.13664 139 4 0.99975 -0.02569 -0.05078 "europe" "LC" "Least Concern" 1 "pelagic" "generalist" 3.887 1 "non-guarder" 3 183973.9211 45.35062441 42.6 18.88004254 0.379862474
"10" "Alosa_alosa" 0.15397 246 6 0.99977 0.0177 -0.04331 "europe" "LC" "Least Concern" 1 "pelagic" "generalist" 2.95 1 "non-guarder" 3.5 312500 70.29999924 65 45.1 0.324994616
